"","Date","Recorder","Site","Block","Plot","Quadrant","Species","Cover","Notes","survey"
"1","24/6/2024","TM","Boothby","NW",111,1,"Cynosurus_cristatus",80,"Crested dogs tail","A"
"2","24/6/2024","TM","Boothby","NW",111,1,"Poa_pratensis",10,"Smooth Meadow ","A"
"3","24/6/2024","TM","Boothby","NW",111,1,"Stellaria_media",1,"Common chickweed","A"
"4","24/6/2024","TM","Boothby","NW",111,1,"Prunus_spinosa",1,"Blackthorn","A"
"5","24/6/2024","TM","Boothby","NW",111,1,"Hordeum_brachyantherum",15,"Meadow Barley","A"
"6","24/6/2024","TM","Boothby","NW",111,2,"Cynosurus_cristatus",85,"","A"
"7","24/6/2024","TM","Boothby","NW",111,2,"Hordeum_brachyantherum",10,"","A"
"8","24/6/2024","TM","Boothby","NW",111,2,"Stellaria_media",1,"","A"
"9","24/6/2024","TM","Boothby","NW",111,2,"Lolium_perenne",5,"Perennial ryegrass","A"
"10","24/6/2024","TM","Boothby","NW",111,3,"Cynosurus_cristatus",80,"","A"
"11","24/6/2024","TM","Boothby","NW",111,3,"Festuca_rubra",1,"Red fescue","A"
"12","24/6/2024","TM","Boothby","NW",111,3,"Agrostis_capillaris",5,"Common bent","A"
"13","24/6/2024","TM","Boothby","NW",111,3,"Alopecurus_pratensis",5,"Foxtail","A"
"15","24/6/2024","TM","Boothby","NW",111,4,"Cynosurus_cristatus",80,"","A"
"16","24/6/2024","TM","Boothby","NW",111,4,"Agrostis_capillaris",5,"","A"
"17","24/6/2024","TM","Boothby","NW",111,4,"Alopecurus_pratensis",1,"","A"
"18","24/6/2024","TM","Boothby","NW",111,4,"Hordeum_brachyantherum",5,"","A"
"19","24/6/2024","TM","Boothby","NW",111,4,"Lolium_perenne",9,"","A"
"20","24/6/2024","TM","Boothby","NW",113,1,"Alopecurus_myosuroides",80,"Black Twitch","A"
"21","24/6/2024","TM","Boothby","NW",113,1,"Bromus_hordeaceus",5,"Soft Brome","A"
"23","24/6/2024","TM","Boothby","NW",113,2,"Alopecurus_myosuroides",80,"Black Twitch","A"
"24","24/6/2024","TM","Boothby","NW",113,2,"Epilobium_parviflorum",10,"Small flower willow herb","A"
"25","24/6/2024","TM","Boothby","NW",113,2,"Bromus_hordeaceus",10,"Soft Brome","A"
"27","24/6/2024","TM","Boothby","NW",113,3,"Alopecurus_myosuroides",70,"","A"
"28","24/6/2024","TM","Boothby","NW",113,3,"Bromus_hordeaceus",15,"","A"
"30","24/6/2024","TM","Boothby","NW",113,4,"Alopecurus_myosuroides",90,"","A"
"31","24/6/2024","TM","Boothby","NW",113,4,"Bromus_hordeaceus",1,"","A"
"32","24/6/2024","TM","Boothby","NW",113,4,"Sonchus_arvensis",1,"Field sow thistle","A"
"34","24/6/2024","TM","Boothby","NW",112,1,"Alopecurus_myosuroides",60,"Black Twitch","A"
"36","24/6/2024","TM","Boothby","NW",112,2,"Alopecurus_myosuroides",60,"","A"
"38","24/6/2024","TM","Boothby","NW",112,3,"Alopecurus_myosuroides",60,"","A"
"40","24/6/2024","TM","Boothby","NW",112,3,"Atriplex_patula",1,"Common orache","A"
"41","24/6/2024","TM","Boothby","NW",112,4,"Alopecurus_myosuroides",60,"","A"
"43","24/6/2024","TM","Boothby","NW",121,1,"Alopecurus_myosuroides",65,"","A"
"45","24/6/2024","TM","Boothby","NW",121,1,"Bromus_hordeaceus",1,"","A"
"46","24/6/2024","TM","Boothby","NW",121,2,"Alopecurus_myosuroides",50,"","A"
"48","24/6/2024","TM","Boothby","NW",121,3,"Alopecurus_myosuroides",60,"","A"
"50","24/6/2024","TM","Boothby","NW",121,4,"Alopecurus_myosuroides",55,"","A"
"52","24/6/2024","TM","Boothby","NW",122,1,"Atriplex_patula",60,"Common orache","A"
"53","24/6/2024","TM","Boothby","NW",122,1,"Persicaria_lapathifolia",2,"Pale Knotweed","A"
"54","24/6/2024","TM","Boothby","NW",122,1,"Jacobaea_vulgaris",2,"Ragwort","A"
"55","24/6/2024","TM","Boothby","NW",122,1,"Bromus_hordeaceus",1,"Soft Brome","A"
"57","24/6/2024","TM","Boothby","NW",122,2,"Atriplex_patula",40,"","A"
"58","24/6/2024","TM","Boothby","NW",122,2,"Persicaria_lapathifolia",10,"","A"
"59","24/6/2024","TM","Boothby","NW",122,2,"Jacobaea_vulgaris",2,"","A"
"60","24/6/2024","TM","Boothby","NW",122,2,"Bromus_hordeaceus",10,"","A"
"62","24/6/2024","TM","Boothby","NW",122,3,"Atriplex_patula",50,"","A"
"63","24/6/2024","TM","Boothby","NW",122,3,"Persicaria_lapathifolia",5,"","A"
"65","24/6/2024","TM","Boothby","NW",122,4,"Atriplex_patula",20,"","A"
"66","24/6/2024","TM","Boothby","NW",122,4,"Vicia_faba",2,"","A"
"67","24/6/2024","TM","Boothby","NW",122,4,"Jacobaea_vulgaris",5,"","A"
"68","24/6/2024","TM","Boothby","NW",122,4,"Persicaria_lapathifolia",1,"","A"
"70","24/6/2024","TM","Boothby","NW",123,1,"Bromus_hordeaceus",90,"Soft Brome","A"
"71","24/6/2024","TM","Boothby","NW",123,1,"Epilobium_parviflorum",2,"Small flower willow herb","A"
"72","24/6/2024","TM","Boothby","NW",123,1,"Sonchus_asper",2,"Spiny sow thistle","A"
"73","24/6/2024","TM","Boothby","NW",123,1,"Triticum_aestivum",1,"Wheat","A"
"75","24/6/2024","TM","Boothby","NW",123,2,"Triticum_aestivum",1,"","A"
"76","24/6/2024","TM","Boothby","NW",123,2,"Bromus_hordeaceus",90,"","A"
"77","24/6/2024","TM","Boothby","NW",123,2,"Epilobium_parviflorum",1,"","A"
"79","24/6/2024","TM","Boothby","NW",123,3,"Bromus_hordeaceus",90,"","A"
"80","24/6/2024","TM","Boothby","NW",123,3,"Poa_trivialis",1,"Rough Meadow Grass","A"
"81","24/6/2024","TM","Boothby","NW",123,3,"Epilobium_parviflorum",1,"","A"
"83","24/6/2024","TM","Boothby","NW",123,4,"Bromus_hordeaceus",90,"","A"
"84","24/6/2024","TM","Boothby","NW",123,4,"Poa_trivialis",1,"","A"
"85","24/6/2024","TM","Boothby","NW",123,4,"Veronica_persica",1,"Field speedwell","A"
"86","24/6/2024","TM","Boothby","NW",123,4,"Agrostis_capillaris",5,"Common bent","A"
"88","24/6/2024","TM","Boothby","NW",132,1,"Pimpinella_saxifraga",2,"Burnet Saxifrage","A"
"89","24/6/2024","TM","Boothby","NW",132,1,"Alopecurus_myosuroides",75,"Black Twitch","A"
"90","24/6/2024","TM","Boothby","NW",132,1,"Epilobium_coloratum",2,"Purple leaved willowherb","A"
"92","24/6/2024","TM","Boothby","NW",132,2,"Sonchus_asper",3,"Spiny sow thistle","A"
"93","24/6/2024","TM","Boothby","NW",132,2,"Epilobium_coloratum",5,"","A"
"94","24/6/2024","TM","Boothby","NW",132,2,"Alopecurus_myosuroides",75,"","A"
"96","24/6/2024","TM","Boothby","NW",132,3,"Trifolium_hybridum",1,"Alsike Clover","A"
"97","24/6/2024","TM","Boothby","NW",132,3,"Alopecurus_myosuroides",1,"Black Twitch","A"
"98","24/6/2024","TM","Boothby","NW",132,3,"Sonchus_arvensis",1,"Field sow thistle","A"
"99","24/6/2024","TM","Boothby","NW",132,3,"Triticum_aestivum",3,"Wheat","A"
"100","24/6/2024","TM","Boothby","NW",132,3,"Bromus_hordeaceus",95,"Soft Brome","A"
"101","24/6/2024","TM","Boothby","NW",132,3,"Epilobium_coloratum",2,"Purple leaved willowherb","A"
"102","24/6/2024","TM","Boothby","NW",132,4,"Trifolium_hybridum",5,"","A"
"103","24/6/2024","TM","Boothby","NW",132,4,"Triticum_aestivum",10,"","A"
"104","24/6/2024","TM","Boothby","NW",132,4,"Pimpinella_saxifraga",2,"","A"
"105","24/6/2024","TM","Boothby","NW",132,4,"Alopecurus_myosuroides",85,"","A"
"106","24/6/2024","TM","Boothby","NW",132,4,"Epilobium_coloratum",2,"","A"
"107","24/6/2024","BB","Boothby","NW",131,1,"Triticum_aestivum",25,"","A"
"108","24/6/2024","BB","Boothby","NW",131,1,"Bromus_hordeaceus",25,"","A"
"109","24/6/2024","BB","Boothby","NW",131,1,"Jacobaea_vulgaris",1,"","A"
"110","24/6/2024","BB","Boothby","NW",131,1,"Epilobium_coloratum",1,"","A"
"111","24/6/2024","BB","Boothby","NW",131,1,"Atriplex_patula",10,"","A"
"112","24/6/2024","BB","Boothby","NW",131,1,"Alopecurus_myosuroides",15,"","A"
"114","24/6/2024","BB","Boothby","NW",131,2,"Vicia_faba",4,"","A"
"115","24/6/2024","BB","Boothby","NW",131,2,"Bromus_hordeaceus",35,"","A"
"116","24/6/2024","BB","Boothby","NW",131,2,"Atriplex_patula",5,"","A"
"117","24/6/2024","BB","Boothby","NW",131,2,"Triticum_aestivum",10,"","A"
"118","24/6/2024","BB","Boothby","NW",131,2,"Alopecurus_myosuroides",10,"","A"
"120","24/6/2024","BB","Boothby","NW",131,3,"Vicia_faba",5,"","A"
"121","24/6/2024","BB","Boothby","NW",131,3,"Epilobium_coloratum",10,"","A"
"122","24/6/2024","BB","Boothby","NW",131,3,"Triticum_aestivum",10,"","A"
"123","24/6/2024","BB","Boothby","NW",131,3,"Atriplex_patula",5,"","A"
"124","24/6/2024","BB","Boothby","NW",131,3,"Alopecurus_myosuroides",35,"","A"
"125","24/6/2024","BB","Boothby","NW",131,3,"Sonchus_asper",2,"","A"
"127","24/6/2024","BB","Boothby","NW",131,4,"Triticum_aestivum",15,"","A"
"128","24/6/2024","BB","Boothby","NW",131,4,"Bromus_hordeaceus",10,"","A"
"129","24/6/2024","BB","Boothby","NW",131,4,"Sonchus_asper",3,"","A"
"130","24/6/2024","BB","Boothby","NW",131,4,"Epilobium_tetragonum",15,"","A"
"131","24/6/2024","BB","Boothby","NW",131,4,"Alopecurus_myosuroides",5,"","A"
"133","24/6/2024","BB","Boothby","NW",133,1,"Centaurea_nigra",25,"","A"
"134","24/6/2024","BB","Boothby","NW",133,1,"Prunus_spinosa",5,"","A"
"135","24/6/2024","BB","Boothby","NW",133,1,"Leucanthemum_vulgare",10,"","A"
"136","24/6/2024","BB","Boothby","NW",133,1,"Succisa_pratensis",20,"","A"
"137","24/6/2024","BB","Boothby","NW",133,1,"Rubus_fruticosus",5,"","A"
"138","24/6/2024","BB","Boothby","NW",133,1,"Geranium_palustre",2,"","A"
"139","24/6/2024","BB","Boothby","NW",133,1,"Scandix_pecten-veneris",1,"","A"
"140","24/6/2024","BB","Boothby","NW",133,1,"Helminthotheca_echiodes",1,"","A"
"141","24/6/2024","BB","Boothby","NW",133,2,"Rhamnus_saxatilis_",25,"Rock buckthorn","A"
"142","24/6/2024","BB","Boothby","NW",133,2,"Holcus_lanatus",15,"y fog","A"
"143","24/6/2024","BB","Boothby","NW",133,2,"Scandix_pecten-veneris",5,"Ladys Venus Combe","A"
"144","24/6/2024","BB","Boothby","NW",133,2,"Centaurea_nigra",30,"Knappweed","A"
"145","24/6/2024","BB","Boothby","NW",133,2,"Poa_pratensis",15,"Smooth Bluegrass","A"
"146","24/6/2024","BB","Boothby","NW",133,2,"Succisa_pratensis",20,"Devils bit scabious","A"
"147","24/6/2024","BB","Boothby","NW",133,2,"Rubus_fruticosus",15,"","A"
"148","24/6/2024","BB","Boothby","NW",133,3,"Leucanthemum_vulgare",20,"Oxeye daisy","A"
"149","24/6/2024","BB","Boothby","NW",133,3,"Centaurea_nigra",15,"","A"
"150","24/6/2024","BB","Boothby","NW",133,3,"Prunus_spinosa",30,"","A"
"151","24/6/2024","BB","Boothby","NW",133,3,"Succisa_pratensis",10,"","A"
"152","24/6/2024","BB","Boothby","NW",133,3,"Geranium_palustre",5,"","A"
"153","24/6/2024","BB","Boothby","NW",133,3,"Lolium_perenne",10,"","A"
"154","24/6/2024","BB","Boothby","NW",133,3,"Poa_pratensis",5,"","A"
"155","24/6/2024","BB","Boothby","NW",133,3,"Scandix_pecten-veneris",1,"","A"
"156","24/6/2024","BB","Boothby","NW",133,3,"Rubus_fruticosus",10,"","A"
"157","24/6/2024","BB","Boothby","NW",133,3,"Packera_aurea",2,"Golden Ragowort","A"
"158","24/6/2024","BB","Boothby","NW",133,4,"Prunus_spinosa",40,"","A"
"159","24/6/2024","BB","Boothby","NW",133,4,"Leucanthemum_vulgare",20,"","A"
"160","24/6/2024","BB","Boothby","NW",133,4,"Holcus_lanatus",10,"","A"
"161","24/6/2024","BB","Boothby","NW",133,4,"Lolium_perenne",10,"","A"
"162","24/6/2024","BB","Boothby","NW",133,4,"Centaurea_nigra",15,"","A"
"163","24/6/2024","BB","Boothby","NW",133,4,"Phleum_pratense",5,"","A"
"164","24/6/2024","BB","Boothby","NW",133,4,"Lolium_pratense",1,"","A"
"165","24/6/2024","BB","Boothby","NW",133,4,"Lolium_arundinaceum",1,"","A"
"166","24/6/2024","BB","Boothby","NW",331,1,"Anthriscus_sylvestris",3,"Cow parsley","A"
"168","24/6/2024","BB","Boothby","NW",331,2,"Anthriscus_sylvestris",2,"","A"
"169","24/6/2024","BB","Boothby","NW",331,2,"Crataegus_rhipidophylla",4,"","A"
"171","24/6/2024","BB","Boothby","NW",331,3,"Anthriscus_sylvestris",2,"","A"
"172","24/6/2024","BB","Boothby","NW",331,3,"Acer_campestre",1,"","A"
"174","24/6/2024","BB","Boothby","NW",331,4,"Anthriscus_sylvestris",5,"","A"
"176","24/6/2024","BB","Boothby","NW",333,1,"Helminthotheca_echiodes",20,"","A"
"177","24/6/2024","BB","Boothby","NW",333,1,"Lolium_perenne",15,"","A"
"178","24/6/2024","BB","Boothby","NW",333,1,"Holcus_lanatus",10,"","A"
"179","24/6/2024","BB","Boothby","NW",333,1,"Geranium_lucidum",5,"","A"
"180","24/6/2024","BB","Boothby","NW",333,1,"Geranium_dissectum",10,"","A"
"181","24/6/2024","BB","Boothby","NW",333,1,"Trifolium_repens",5,"","A"
"182","24/6/2024","BB","Boothby","NW",333,1,"Cirsium_discolor",5,"field thistle","A"
"183","24/6/2024","BB","Boothby","NW",333,1,"Epilobium_parviflorum",5,"","A"
"185","24/6/2024","BB","Boothby","NW",333,2,"Holcus_lanatus",35,"","A"
"186","24/6/2024","BB","Boothby","NW",333,2,"Lolium_perenne",30,"","A"
"187","24/6/2024","BB","Boothby","NW",333,2,"Geranium_dissectum",15,"","A"
"188","24/6/2024","BB","Boothby","NW",333,2,"Epilobium_parviflorum",5,"","A"
"189","24/6/2024","BB","Boothby","NW",333,2,"Helminthotheca_echiodes",20,"Bristly Oxtongue","A"
"191","24/6/2024","BB","Boothby","NW",333,3,"Lolium_perenne",15,"","A"
"192","24/6/2024","BB","Boothby","NW",333,3,"Cirsium_discolor",5,"","A"
"193","24/6/2024","BB","Boothby","NW",333,3,"Alopecurus_myosuroides",15,"","A"
"194","24/6/2024","BB","Boothby","NW",333,3,"Geranium_dissectum",5,"","A"
"195","24/6/2024","BB","Boothby","NW",333,3,"Epilobium_parviflorum",5,"","A"
"197","24/6/2024","BB","Boothby","NW",333,4,"Lolium_perenne",25,"","A"
"198","24/6/2024","BB","Boothby","NW",333,4,"Cirsium_discolor",5,"","A"
"199","24/6/2024","BB","Boothby","NW",333,4,"Alopecurus_myosuroides",20,"","A"
"200","24/6/2024","BB","Boothby","NW",333,4,"Geranium_dissectum",10,"","A"
"201","24/6/2024","BB","Boothby","NW",333,4,"Epilobium_parviflorum",5,"","A"
"203","24/6/2024","BB","Boothby","NW",333,4,"Vicia_faba",30,"","A"
"204","24/6/2024","BB","Boothby","NW",332,1,"Lolium_perenne",30,"","A"
"205","24/6/2024","BB","Boothby","NW",332,1,"Phleum_pratense",10,"","A"
"206","24/6/2024","BB","Boothby","NW",332,1,"Epilobium_parviflorum",15,"","A"
"207","24/6/2024","BB","Boothby","NW",332,1,"Sonchus_asper",10,"","A"
"208","24/6/2024","BB","Boothby","NW",332,1,"Vicia_faba",5,"","A"
"209","24/6/2024","BB","Boothby","NW",332,1,"Trifolium_pratense",5,"","A"
"211","24/6/2024","BB","Boothby","NW",332,2,"Lolium_perenne",45,"","A"
"212","24/6/2024","BB","Boothby","NW",332,2,"Phleum_pratense",10,"","A"
"213","24/6/2024","BB","Boothby","NW",332,2,"Helminthotheca_echiodes",5,"","A"
"214","24/6/2024","BB","Boothby","NW",332,2,"Sonchus_asper",5,"","A"
"215","24/6/2024","BB","Boothby","NW",332,2,"Epilobium_parviflorum",5,"","A"
"217","24/6/2024","BB","Boothby","NW",332,3,"Taraxacum_campylodes",5,"","A"
"218","24/6/2024","BB","Boothby","NW",332,3,"Lolium_pratense",5,"","A"
"219","24/6/2024","BB","Boothby","NW",332,3,"Lolium_perenne",20,"","A"
"220","24/6/2024","BB","Boothby","NW",332,3,"Phleum_pratense",10,"","A"
"221","24/6/2024","BB","Boothby","NW",332,3,"Epilobium_parviflorum",5,"","A"
"222","24/6/2024","BB","Boothby","NW",332,3,"Dactylis_glomerata",1,"","A"
"224","24/6/2024","BB","Boothby","NW",332,4,"Helminthotheca_echiodes",10,"","A"
"225","24/6/2024","BB","Boothby","NW",332,4,"Trifolium_pratense",10,"","A"
"226","24/6/2024","BB","Boothby","NW",332,4,"Lolium_pratense",5,"","A"
"227","24/6/2024","BB","Boothby","NW",332,4,"Phleum_pratense",10,"","A"
"228","24/6/2024","BB","Boothby","NW",332,4,"Lolium_perenne",25,"","A"
"230","25/6/2024","TM","Boothby","S",111,1,"Epilobium_hirsutum",25,"Great Hairy Willowherb","A"
"231","25/6/2024","TM","Boothby","S",111,1,"Alopecurus_myosuroides",15,"Black Twitch","A"
