"","Date","Recorder","Site","Block","Group","Plot","Quadrant","Species..Nell.","Species","Cover","Notes","what3words","X"
"1","2022-06-28","Nell Pates","Knepp","S","X","222",1,"Fleabane","Pulicaria_dysenterica",40,"","apparatus.appraised.commoners",0
"2","2022-06-28","Nell Pates","Knepp","S","X","222",1,"Ragwort","Senecio_jacobaea",7,"","apparatus.appraised.commoners",0
"3","2022-06-28","Nell Pates","Knepp","S","X","222",1,"White clover","Trifolium_repens",20,"","apparatus.appraised.commoners",0
"4","2022-06-28","Nell Pates","Knepp","S","X","222",1,"Holcus lanatus","Holcus_lanatus",55,"","apparatus.appraised.commoners",0
"5","2022-06-28","Nell Pates","Knepp","S","X","222",1,"Very fluffy leaf","Cirsium_dissectum",1,"","apparatus.appraised.commoners",0
"6","2022-06-28","Nell Pates","Knepp","S","X","222",1,"Tiny purple","Geranium_pusillum",1,"","apparatus.appraised.commoners",0
"8","2022-06-28","Nell Pates","Knepp","S","X","222",1,"Dandelion / tragopogon ","Hypochaeris_radicata",1,"","apparatus.appraised.commoners",0
"9","2022-06-28","Nell Pates","Knepp","S","X","222",2,"Fleabane","Pulicaria_dysenterica",70,"","apparatus.appraised.commoners",0
"10","2022-06-28","Nell Pates","Knepp","S","X","222",2,"Ragwort","Senecio_jacobaea",20,"","apparatus.appraised.commoners",0
"11","2022-06-28","Nell Pates","Knepp","S","X","222",2,"White clover","Trifolium_repens",10,"","apparatus.appraised.commoners",0
"12","2022-06-28","Nell Pates","Knepp","S","X","222",2,"Holcus lanatus","Holcus_lanatus",25,"","apparatus.appraised.commoners",0
"13","2022-06-28","Nell Pates","Knepp","S","X","222",2,"Very fluffy leaf","Cirsium_dissectum",1,"","apparatus.appraised.commoners",0
"15","2022-06-28","Nell Pates","Knepp","S","X","222",2,"Bramble","Rubus_fruticosus",3,"","apparatus.appraised.commoners",0
"16","2022-06-28","Nell Pates","Knepp","S","X","222",2,"Tiny branching = lesser stitchwort?","Stellaria_graminea",1,"","apparatus.appraised.commoners",0
"17","2022-06-28","Nell Pates","Knepp","S","X","222",2,"Little red leaves","Geranium_dissectum",1,"","apparatus.appraised.commoners",0
"20","2022-06-28","Nell Pates","Knepp","S","X","222",2,"Long stem, rounded leaves","Senecio_jacobaea",2,"","apparatus.appraised.commoners",0
