"","Date","Recorder","Site","Block","Group","Plot","Quadrant","Species","Cover","Notes"
"1","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,1,"Cirsium_arvense",30,""
"2","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,1,"Ranunculus_repens",15,""
"3","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,1,"Holcus_lanatus",50,""
"4","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,1,"Trifolium_repens",10,""
"5","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,1,"Cerastium_fontanum",5,""
"6","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,1,"Cirsium_palustre",5,""
"7","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,1,"Holcus_lanatus",5,""
"10","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,2,"Cirsium_arvense",10,""
"11","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,2,"Ranunculus_repens",10,""
"12","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,2,"Holcus_lanatus",5,""
"13","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,2,"Trifolium_repens",10,""
"14","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,2,"Jacobaea_vulgaris",5,""
"15","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,2,"Taraxacum_offinale",1,""
"16","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,2,"Cerastium_fontanum",1,""
"17","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,2,"Agrostis_stolonifera",70,""
"18","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,2,"Geranium_dissectum_",1,""
"20","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,3,"Cirsium_arvense",30,""
"21","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,3,"Ranunculus_repens",10,""
"22","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,3,"Holcus_lanatus",30,""
"23","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,3,"Taraxacum_offinale",1,"Missing its flower head"
"24","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,3,"Trifolium_repens",40,""
"25","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,3,"Jacobaea_vulgaris",1,""
"26","10/06/2024","Eimear Loughlin","Knepp","S","Y",222,3,"Lapsana_communis",1,""
