Date,Recorder,Location,Site,Block,Group,Plot,Quadrant,Species (Nell),Species,Cover,Notes,what3words,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,1,Fleabane,Pulicaria dysenterica,40,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,1,Ragwort,Senecio jacobaea,7,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,1,White clover,Trifolium repens,20,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,1,Holcus lanatus,Holcus lanatus,55,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,1,Very fluffy leaf,Cirsium dissectum,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,1,Tiny purple,Geranium pusillum,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,1,sticks,sticks,4,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,1,Dandelion / tragopogon ,Hypochaeris radicata,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,Fleabane,Pulicaria dysenterica,70,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,Ragwort,Senecio jacobaea,20,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,White clover,Trifolium repens,10,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,Holcus lanatus,Holcus lanatus,25,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,Very fluffy leaf,Cirsium dissectum,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,sticks,sticks,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,Bramble,Rubus fruticosus,3,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,Tiny branching = lesser stitchwort?,Stellaria graminea,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,Little red leaves,Geranium dissectum,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,Woody stem sapling / shrub,sapling,1,sapling,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,moss,moss,2,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,"Long stem, rounded leaves",Senecio jacobaea,2,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,2,Purple / blue / white,Myosotis arvensis,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,3,Fleabane,Pulicaria dysenterica,3,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,3,White clover,Trifolium repens,20,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,3,Holcus lanatus,Holcus lanatus,95,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,3,sticks,sticks,5,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,3,Tiny branching = lesser stitchwort?,Stellaria graminea,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,3,Tiny purple vetch,Vicia sativa,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,3,Woody stem sapling / shrub,sapling,1,sapling,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,3,animal droppings,animal droppings,3,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,3,Dandelion,Taraxacum officinale agg,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,4,Fleabane,Pulicaria dysenterica,8,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,4,Ragwort,Senecio jacobaea,13,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,4,White clover,Trifolium repens,20,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,4,Holcus lanatus,Holcus lanatus,90,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,4,Bramble,Rubus fruticosus,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,4,sticks,sticks,3,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,4,"Tough, pale green shoot",pale green,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,222,4,"Square stem, fluffy leaves",Cerastium fontanum,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,Holcus lanatus,Holcus lanatus,98,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,Ragwort,Senecio jacobaea,1,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,White clover,Trifolium repens,10,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,Thistle,Cirsium arvense,4,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,Buttercup,Ranunculus repens,1,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,Tiny white,Stellaria graminea,2,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,Round leaves,Rumex acetosa,1,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,Wrinkled leaves,Senecio jacobaea,2,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,animal droppings,animal droppings,2,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,1,sticks,sticks,3,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,2,Holcus lanatus,Holcus lanatus,95,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,2,Ragwort,Senecio jacobaea,15,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,2,White clover,Trifolium repens,10,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,2,Tiny white,Stellaria graminea,5,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,2,Long leaves,Rumex crispus,2,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,2,sticks,sticks,4,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,2,animal droppings,animal droppings,2,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,2,Round leaves,Rumex acetosa,1,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,3,Holcus lanatus,Holcus lanatus,95,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,3,Ragwort,Senecio jacobaea,5,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,3,Thistle,Cirsium arvense,4,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,3,Tiny white,Stellaria graminea,10,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,3,White clover,Trifolium repens,2,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,3,Buttercup - This is the three leaved thing I can’t ID,Ranunculus repens,3,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,3,Wrinkled leaves,Senecio jacobaea,4,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,3,Tiny yellow,Trifolium dubium,1,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,4,Holcus lanatus,Holcus lanatus,95,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,4,White clover,Trifolium repens,5,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,4,Thistle,Cirsium arvense,1,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,4,Wrinkled leaves,Senecio jacobaea,1,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,4,Little red leaves,Geranium dissectum,1,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,4,Tiny white,Stellaria graminea,5,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,4,Buttercup,Ranunculus repens,4,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,122,4,Very fluffy and spiky leaf,Cirsium dissectum,4,,staked.tonality.bronzer,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,Fleabane,Pulicaria dysenterica,35,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,Holcus lanatus,Holcus lanatus,60,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,White clover,Trifolium repens,10,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,Mystery plant,Senecio erucifolius,2,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,Bindweed,Calystegia sepium,2,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,Ragwort,Senecio jacobaea,1,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,Pale green - pink shoots,Prunus avium,3,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,Grass (Poa pratensis?),Agrostis capillaris,3,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,Dark leaves,Cardamine pratensis,1,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,1,"Tiny leaves, no flowers",Galium palustre,1,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,2,Fleabane,Pulicaria dysenterica,40,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,2,Holcus lanatus,Holcus lanatus,50,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,2,"Square stem, serrated leaves",Lycopus europaeus,5,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,2,Buttercup,Ranunculus repens,4,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,2,Ragwort,Senecio jacobaea,1,damaged,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,2,Grass (Poa pratensis?),Agrostis capillaris,2,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,2,Bindweed,Calystegia sepium,1,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,Fleabane,Pulicaria dysenterica,35,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,Holcus lanatus,Holcus lanatus,35,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,White clover,Trifolium repens,30,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,"Square stem, serrated leaves",Lycopus europaeus,2,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,sticks,sticks,2,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,moss,moss,2,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,Woody stem sapling / shrub,sapling,1,sapling,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,Bindweed,Calystegia sp,2,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,Buttercup,Ranunculus repens,1,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,3,Mystery alternate plant,Senecio erucifolius,1,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,4,Fleabane,Pulicaria dysenterica,40,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,4,Holcus lanatus,Holcus lanatus,70,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,4,Mystery alternate plant,Senecio erucifolius,2,damaged,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,4,Bindweed,Calystegia sp,2,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,4,Buttercup - This is the three leaved thing I can’t ID,Ranunculus repens,5,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,4,Grass (Poa pratensis?),Agrostis capillaris,2,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,4,"Square stem, serrated leaves",Lycopus europaeus,1,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,4,Pink dangly,Lathyrus nissolia,1,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,112,4,Rumex sp?,Rumex sp,1,,bluffs.gold.estuaries,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,1,Fleabane,Pulicaria dysenterica,70,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,1,Holcus lanatus,Holcus lanatus,30,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,1,senesced Holcus lanatus,Holcus lanatus,20,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,1,Tiny white,Stellaria graminea,8,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,1,White clover,Trifolium repens,2,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,1,Grass - festuca rubra?,Agrostis stolonifera,3,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,2,Fleabane,Pulicaria dysenterica,65,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,2,Holcus lanatus,Holcus lanatus,30,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,2,senesced Holcus lanatus,Holcus lanatus,15,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,2,Tiny white,Stellaria graminea,6,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,2,Buttercup - This is the three leaved thing I can’t ID,Ranunculus repens,3,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,2,"Square stem, serrated leaves",Lycopus europaeus,2,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,2,Grass - festuca rubra?,Agrostis stolonifera,1,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,3,Fleabane,Pulicaria dysenterica,40,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,3,Holcus lanatus,Holcus lanatus,45,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,3,Grass - festuca rubra?,Agrostis stolonifera,10,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,3,White clover,Trifolium repens,7,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,3,"Square stem, serrated leaves",Lycopus europaeus,1,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,3,Long green - pink leaves,Rumex crispus,2,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,4,Fleabane,Pulicaria dysenterica,80,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,4,Holcus lanatus,Holcus lanatus,10,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,4,senesced Flowers,senesced flower,8,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,4,senesced Holcus lanatus,Holcus lanatus,50,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,4,Oak sapling,Quercus robur,10,sapling,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,111,4,Tiny white,Stellaria graminea,2,,increment.consumed.label,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,1,Holcus lanatus,Holcus lanatus,90,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,1,Fleabane,Pulicaria dysenterica,6,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,1,White clover,Trifolium repens,8,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,1,Selfheal,Prunella vulgaris,6,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,1,Trampled long leaf,Rumex obtusifolius,2,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,1,Small shrub,Salix x multinervis,25,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,2,Holcus lanatus,Holcus lanatus,50,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,2,Fleabane,Pulicaria dysenterica,25,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,2,White clover,Trifolium repens,15,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,2,Small shrub,Salix x multinervis,30,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,3,Holcus lanatus,Holcus lanatus,95,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,3,Fleabane,Pulicaria dysenterica,25,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,3,Selfheal,Prunella vulgaris,8,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,3,White clover,Trifolium repens,15,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,3,Dog rose?,Rosa sp,1,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,3,shrub,Salix x multinervis,0,overhang - 10,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,4,Holcus lanatus,Holcus lanatus,60,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,4,Fleabane,Pulicaria dysenterica,15,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,4,White clover,Trifolium repens,3,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,4,shrub,Salix x multinervis,40,,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,113,4,shrub,Salix x multinervis,0,overhang - 10,extensive.long.mixes,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,1,Quercus sp,Quercus robur,0,overhang - 100,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,1,senesced Cocksfoot,Dactylis glomerata,1,senesced,windmills.overhaul.collides,
