Date,Recorder,Site,Block,Plot,Quadrant,Species,Cover,Notes,survey
24/6/2024,TM,Boothby,NW,111,1,Cynosurus cristatus,80,Crested dogs tail,A
24/6/2024,TM,Boothby,NW,111,1,Poa pratensis,10,Smooth Meadow ,A
24/6/2024,TM,Boothby,NW,111,1,Stellaria media,1,Common chickweed,A
24/6/2024,TM,Boothby,NW,111,1,Prunus spinosa,1,Blackthorn,A
24/6/2024,TM,Boothby,NW,111,1,Hordeum brachyantherum,15,Meadow Barley,A
24/6/2024,TM,Boothby,NW,111,2,Cynosurus cristatus,85,,A
24/6/2024,TM,Boothby,NW,111,2,Hordeum brachyantherum,10,,A
24/6/2024,TM,Boothby,NW,111,2,Stellaria media,1,,A
24/6/2024,TM,Boothby,NW,111,2,Lolium perenne,5,Perennial ryegrass,A
24/6/2024,TM,Boothby,NW,111,3,Cynosurus cristatus,80,,A
24/6/2024,TM,Boothby,NW,111,3,Festuca rubra,1,Red fescue,A
24/6/2024,TM,Boothby,NW,111,3,Agrostis capillaris,5,Common bent,A
24/6/2024,TM,Boothby,NW,111,3,Alopecurus pratensis,5,Foxtail,A
24/6/2024,TM,Boothby,NW,111,3,Sheep poo,9,,A
24/6/2024,TM,Boothby,NW,111,4,Cynosurus cristatus,80,,A
24/6/2024,TM,Boothby,NW,111,4,Agrostis capillaris,5,,A
24/6/2024,TM,Boothby,NW,111,4,Alopecurus pratensis,1,,A
24/6/2024,TM,Boothby,NW,111,4,Hordeum brachyantherum,5,,A
24/6/2024,TM,Boothby,NW,111,4,Lolium perenne,9,,A
24/6/2024,TM,Boothby,NW,113,1,Alopecurus myosuroides,80,Black Twitch,A
24/6/2024,TM,Boothby,NW,113,1,Bromus hordeaceus,5,Soft Brome,A
24/6/2024,TM,Boothby,NW,113,1,Bare Ground,15,,A
24/6/2024,TM,Boothby,NW,113,2,Alopecurus myosuroides,80,Black Twitch,A
24/6/2024,TM,Boothby,NW,113,2,Epilobium parviflorum,10,Small flower willow herb,A
24/6/2024,TM,Boothby,NW,113,2,Bromus hordeaceus,10,Soft Brome,A
24/6/2024,TM,Boothby,NW,113,2,Bare Ground,5,,A
24/6/2024,TM,Boothby,NW,113,3,Alopecurus myosuroides,70,,A
24/6/2024,TM,Boothby,NW,113,3,Bromus hordeaceus,15,,A
24/6/2024,TM,Boothby,NW,113,3,Bare Ground,15,,A
24/6/2024,TM,Boothby,NW,113,4,Alopecurus myosuroides,90,,A
24/6/2024,TM,Boothby,NW,113,4,Bromus hordeaceus,1,,A
24/6/2024,TM,Boothby,NW,113,4,Sonchus arvensis,1,Field sow thistle,A
24/6/2024,TM,Boothby,NW,113,4,Bare Ground,10,,A
24/6/2024,TM,Boothby,NW,112,1,Alopecurus myosuroides,60,Black Twitch,A
24/6/2024,TM,Boothby,NW,112,1,Bare Ground,40,,A
24/6/2024,TM,Boothby,NW,112,2,Alopecurus myosuroides,60,,A
24/6/2024,TM,Boothby,NW,112,2,Bare Ground,40,,A
24/6/2024,TM,Boothby,NW,112,3,Alopecurus myosuroides,60,,A
24/6/2024,TM,Boothby,NW,112,3,Bare Ground,40,,A
24/6/2024,TM,Boothby,NW,112,3,Atriplex patula,1,Common orache,A
24/6/2024,TM,Boothby,NW,112,4,Alopecurus myosuroides,60,,A
24/6/2024,TM,Boothby,NW,112,4,Bare Ground,40,,A
24/6/2024,TM,Boothby,NW,121,1,Alopecurus myosuroides,65,,A
24/6/2024,TM,Boothby,NW,121,1,Bare Ground,35,,A
24/6/2024,TM,Boothby,NW,121,1,Bromus hordeaceus,1,,A
24/6/2024,TM,Boothby,NW,121,2,Alopecurus myosuroides,50,,A
