Date,Recorder,Site,Block,Group,Plot,Quadrant,Species,Cover,Notes
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,1,Cirsium arvense,30,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,1,Ranunculus repens,15,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,1,Holcus lanatus,50,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,1,Trifolium repens,10,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,1,Cerastium fontanum,5,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,1,Cirsium palustre,5,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,1,Holcus lanatus,5,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,1,bare ground,5,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,1,dead branch ,1,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Cirsium arvense,10,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Ranunculus repens,10,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Holcus lanatus,5,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Trifolium repens,10,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Jacobaea vulgaris,5,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Taraxacum offinale,1,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Cerastium fontanum,1,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Agrostis stolonifera,70,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Geranium dissectum ,1,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,2,Bare ground ,1,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,3,Cirsium arvense,30,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,3,Ranunculus repens,10,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,3,Holcus lanatus,30,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,3,Taraxacum offinale,1,Missing its flower head
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,3,Trifolium repens,40,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,3,Jacobaea vulgaris,1,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,3,Lapsana communis,1,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,3,Holcus lanatus,30,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,4,Cirsium arvense,20,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,4,Ranunculus repens,10,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,4,Holcus lanatus,10,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,4,Trifolium repens,20,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,4,Jacobaea vulgaris,20,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,4,Taraxacum officinale (L.),1,
10/06/2024,Eimear Loughlin,Knepp,S,Y,222,4,Agrostis stolonifera,50,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Dactylis glomerata,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Holcus lanatus,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Bromus hordeaceus,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Agrostis stolonifera,60,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Trifolium repens,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Geranium dissectum ,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Taraxacum officinale (L.),5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Convolvulus arvensis,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Lapsana communis,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,1,Prunus spinosa,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,2,Dactylis glomerata,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,2,Agrostis stolonifera,40,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,2,Trifolium repens,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,2,Ranunculus repens,40,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,2,Bromus hordeaceus,20,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,2,Taraxacum officinale (L.),5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,2,Convolvulus arvensis,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,2,Prunus spinosa,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,3,Holcus lanatus,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,3,Agrostis stolonifera,70,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,3,Convolvulus arvensis,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,3,Taraxacum officinale (L.),5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,3,Prunus spinosa,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,3,Jacobaea aquatica,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,3,bare ground,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,4,Dactylis glomerata,30,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,4,Bromus hordeaceus,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,4,Agrostis stolonifera,70,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,4,Convolvulus arvensis,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,4,Geranium dissectum ,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,4,Prunus spinosa,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,4,Trifolium repens,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,4,Taraxacum officinale (L.),1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,221,4,bare ground ,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,1,Trifolium repens,50,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,1,Ranunculus repens,30,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,1,Convolvulus arvensis,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,1,Jacobaea vulgaris,20,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,1,Plantago media,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,1,bare ground,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,1,poo,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,1,Holcus lanatus,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,1,Agrostis stolonifera,30,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,2,Trifolium repens,30,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,2,Ranunculus repens,20,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,2,Jacobaea vulgaris,40,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,2,Holcus lanatus,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,2,Agrostis stolonifera,50,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,2,Veronica filiformis,0.5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,2,Geranium dissectum ,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,2,Taraxacum officinale (L.),5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,2,bare ground ,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,3,Trifolium repens,20,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,3,Ranunculus repens,10,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,3,Jacobaea vulgaris,20,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,3,Agrostis stolonifera,70,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,3,Convolvulus arvensis,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,3,bare ground ,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,4,Holcus lanatus,5,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,4,Trifolium repens,40,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,4,Jacobaea vulgaris,20,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,4,Trifolium pratense,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,4,Convolvulus arvensis,1,
11/06/2024,Eimear Loughlin,Knepp,S,Y,223,4,Agrostis stolonifera,50,
